ID, NOMBRE, TIPO, CREDITOS(GB), ESTADO
fs-53091e98, RACC-EFS-PRE-INTRANET-PEOPLE, bursting, 2150, OK
fs-3bdaa0f0, RACC-ECS-CLUSTER-PRO-01-EFS-PORTALASISTENCIA-UPLOAD, bursting, 2150, OK
fs-80ceb24b, RACC-ECS-CLUSTER-PRO-01-CCONDUCCIO-WP-CONTENT, provisioned, 2150, OK
fs-7a1175b1, RACC-ECS-CLUSTER-PRO-01-PORTALCOMERCIAL-WP-CONTENT, provisioned, 2150, OK
fs-c2af4609, RACC-ECS-CLUSTER-PRO-01-WP-NEXDOM-WP-CONTENT, bursting, 8, CRITICAL
fs-8eac8546, RACC-ECS-CLUSTER-PRO-01-EFS-MOOBILITYINSTITUTE-WP-CONTENT, provisioned, 2150, OK
fs-1180ecd9, RACC-ECS-CLUSTER-PRO-01-EFS-PRE-PEOPLE, bursting, 2150, OK
fs-506af998, RACC-ECS-CLUSTER-PRO-01-EFS-PEOPLE, provisioned, 2150, OK
fs-0d5358c4, RACC-ECS-CLUSTER-PRO-01-EFS-MEDICAL, bursting, 2150, OK
fs-6b5562a2, RACC-PRO-MFT-SUMMAR-FS, bursting, 2150, OK
fs-f188a238, RACC-PRE-MFT-SUMMAR-FS, bursting, 2150, OK
fs-04ae84cd, RACC-ECS-CLUSTER-PRO-01-EFS-JENKINS, bursting, 2150, OK
fs-92c8a15b, RACC-ECS-CLUSTER-PRO-01-EFS-BACKUP, bursting, 6435, OK
fs-a0c9a069, RACC-ECS-CLUSTER-PRO-01-EFS-INTRANET, bursting, 2150, OK
fs-83b2254a, RACPROLAFFSMFT01, bursting, 2150, OK
fs-3d159ef4, RAC-PRO-CLUSTER-SMB-BKP-FS, bursting, 2150, OK
fs-17159ede, RAC-PRO-CLUSTER-SMB-CTDB-FS, bursting, 2150, OK
fs-eab73f23, RAC-PRE-CLUSTER-SMB-BKP-FS, bursting, 2150, OK
fs-d2b73f1b, RAC-PRE-CLUSTER-SMB-CTDB-FS, bursting, 2150, OK
fs-99931c50, RACINTNFSFDAT501, bursting, 2150, OK
fs-76f37cbf, RACPRELABFUS501, bursting, 0, CRITICAL
fs-68f37ca1, RACINTNFSFSII501, bursting, 1027, OK
fs-18f778d1, RACPRENFSFDAT501, bursting, 2079, OK
fs-83be334a, RACPRONFSFSII901, bursting, 0, CRITICAL
fs-3a2ee6f3, RACDEVNFSFSII201, bursting, 1274, OK
fs-0fb878c6, RACPRONFSMDM9A2, bursting, 2150, OK
fs-74b878bd, RACPRONFSMDM9A1, bursting, 2150, OK
fs-61b878a8, RACPRONFSFUS9A1, bursting, 0, CRITICAL
fs-4c9f5885, RACPRONFS871, bursting, 2150, OK
